,eid,src,dst,way_id,src_name,dst_name,distance,duration,walking_duration,dir,speed,geometry,dist
18,18,440300024046035,440300024046020,440300024046,溪头,松岗,863.0,92.0,,0,9.380434782608695,"LINESTRING (174758.75121265237 2522381.2539116605, 174665.64560184203 2522354.2017979226, 174048.4799124805 2522166.7701318283, 173926.76815839548 2522133.9060094263)",863.0
1275,1275,440300024046020,440300024057002,440300024057,松岗,exchange,20.0,120.0,0.0,0,0.16666666666666666,LINESTRING EMPTY,20.0
190,190,440300024057002,440300024057015,440300024057,松岗,后亭,2273.0,163.0,,0,13.94478527607362,"LINESTRING (173926.76815839548 2522133.9060094263, 173967.1443643141 2521998.5565392086, 174052.73143913742 2521660.7905954034, 174085.72631498508 2521521.4981972356, 174095.4980506724 2521459.4245064883, 174098.84999246267 2521380.858494419, 174096.33324010944 2521316.2768405746, 174088.04570759984 2521265.4556988203, 174078.06816484238 2521217.331637466, 174065.9662611576 2521166.0380089567, 174051.7460765647 2521121.4418787193, 174035.46229641273 2521086.092027366, 174017.1392131598 2521056.329317522, 173797.35444088758 2520756.3834853936, 173743.29327414313 2520666.411212709, 173700.5341148739 2520576.085447202, 173671.6936758873 2520492.3345833067, 173656.06018961192 2520439.453884443, 173645.15616996022 2520391.3497837903, 173636.43654274318 2520344.418310134, 173629.24958146957 2520263.5284092166, 173608.92047175113 2520063.8489086037, 173596.06107502995 2519963.01379611)",2273.0
196,196,440300024057015,440300024057016,440300024057,后亭,沙井,2137.0,156.0,,0,13.698717948717949,"LINESTRING (173596.06107502995 2519963.01379611, 173582.9266067469 2519863.736738615, 173319.53877151926 2517764.9038179107, 173305.68148854026 2517660.7641031994, 173292.93105999893 2517555.491942253)",2137.0
1375,1375,440300024057016,440300024056023,440300024056,沙井,inner_link,3000.0,120.0,,0,0.16666666666666666,LINESTRING EMPTY,3000.0
186,186,440300024056023,440300024056024,440300024056,沙井,后亭,2137.0,150.0,,0,14.246666666666666,"LINESTRING (173292.93105999893 2517555.491942253, 173305.68148854026 2517660.7641031994, 173319.53877151926 2517764.9038179107, 173582.9266067469 2519863.736738615, 173596.06107502995 2519963.01379611)",2137.0
